title,speakers,description,link,video,thumbnail
Introducing Webhooks for OneDrive and OneDrive for Business,Ryan Gregg,"Find out how to get near real time notifications to changes in OneDrive and OneDrive for Business with service to service webhooks and OneDrive API. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:32071e5ac4db448584a5a5da00c471be"" />",https://s.ch9.ms/Events/Build/2016/P566,Introducing_Webhooks_for_OneDrive_and_OneDrive_for_Business.mp4,http://video.ch9.ms/ch9/ed49/dabacc63-4e26-4d1b-99b2-3609397bed49/P566_220.jpg
Introducing the File Picker for OneDrive and OneDrive for Business,Ketaki Sheode,"Drill into the new Unified OneDrive file picker and what’s possible. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:a0b721f1359a4fe88f14a5da00c471b5"" />",https://s.ch9.ms/Events/Build/2016/P565,Introducing_the_File_Picker_for_OneDrive_and_OneDrive_for_Business.mp4,http://video.ch9.ms/ch9/548b/9f50bdf4-366c-4a54-b594-84b56a05548b/P565_220.jpg
What's New with Microsoft Graph SDKs,Matt Geimer,"For the developer in you that wants a library to simplify your coding, come and learn about the SDKs available for Microsoft Graph and how you can even make your own for .NET, iOS, and Android using open source technologies <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:6ddf9942f6ca4648be15a5da00c471a4"" />",https://s.ch9.ms/Events/Build/2016/P563,What's_New_with_Microsoft_Graph_SDKs.mp4,http://video.ch9.ms/ch9/2a11/9f76b859-df7a-43e5-a776-4c03afdf2a11/P563_220.jpg
Introducing Office Add-ins for OneNote Online,Vijay Sharma,"Office Add-ins will be soon available on OneNote Online. Learn how you can create an Add-ins for OneNote. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:2a00368aad4b420ba779a5da00c47197"" />",https://s.ch9.ms/Events/Build/2016/P561,Introducing_Office_Add-ins for_OneNote_Online.mp4,http://video.ch9.ms/ch9/d77c/f4d41f3f-8667-4acc-9c2d-919895d0d77c/P561_220.jpg
OOF Status and Find Meeting Times API,Shreedevi Padmasini,"Want to use our latest Free/Busy capability to get meeting time suggestions?&nbsp; Want to get./set your OOF status?&nbsp; This session is for you! <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:37f4ce418b9c4c528b4fa5da00c47191"" />",https://s.ch9.ms/Events/Build/2016/P560,OOF_Status_and_Find_Meeting_Times_API.mp4,http://video.ch9.ms/ch9/5c89/6c205bcb-f48f-4673-84fd-be99693d5c89/P560_220.jpg
"OneDrive API – Overview, What’s New, and Scenarios",Sean Maloney,"Overview of the OneDrive API for OneDrive and OneDrive for Business,&nbsp;highlights on&nbsp;what’s new, and a quick&nbsp;overview of the range of scenarios you can enable. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:a0bf383a373d4b41bba5a5da00c47188"" />",https://s.ch9.ms/Events/Build/2016/P559,"OneDrive_API_–_Overview,_What’s_New,_and_Scenarios.mp4",http://video.ch9.ms/ch9/b124/5be4de54-5ffd-4b8e-b80e-a39cba32b124/P559_220.jpg
Building Office 365 Group Connectors,Simeon Duong,"Want to see the easiest way to create rich content inside Office 365 Groups? Take a look at Connectors! <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:cc56b126af2f4798b55ca5da00c4717d"" />",https://s.ch9.ms/Events/Build/2016/P558,Building_Office_365_Group_Connectors.mp4,http://video.ch9.ms/ch9/35fd/0ccafca8-1493-4d0d-9bac-9a32122235fd/P558_220.jpg
What’s New in Excel JavaScript APIs v.1.2 in Office Add-ins,Yu Liu,"Excel has a rich JS API with lots of new functionality that enables&nbsp;add-ins to do deep manipulation of Excel data! <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:f77030dedb1d4256a06fa5da00c47176"" />",https://s.ch9.ms/Events/Build/2016/P557,What’s_New_in_Excel_JavaScript_APIs_v.1.2_in_Office_Add-ins.mp4,http://video.ch9.ms/ch9/a9a8/e0721887-d95a-41a7-b50d-8a4b9c26a9a8/P557_220.jpg
Working with Excel Documents with the Microsoft Graph,Sudhi Ramamurthy,"Worksheets, Tables, Ranges, Charts and more Excel capabilities&nbsp;via the new Excel REST API available in Microsoft Graph. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:cac93bfe41e8429399e6a5da00c4716e"" />",https://s.ch9.ms/Events/Build/2016/P556,Working_with_Excel_Documents_with_the_Microsoft_Graph.mp4,http://video.ch9.ms/ch9/e052/7c6a8987-972e-4407-8f3c-394e3371e052/P556_220.jpg
WebHooks in the Microsoft Graph,Gareth Jones,"Do you want your app to respond dynamically to changes in data stored in Office 365 using the Microsoft Graph without polling? Webhooks are for you! <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:9d2b1d55c76d4a4fa6c8a5da00c47168"" />",https://s.ch9.ms/Events/Build/2016/P555,WebHooks_in_the_Microsoft_Graph.mp4,http://video.ch9.ms/ch9/7c05/93eac56c-119a-466a-98a1-4120de3c7c05/P555_220.jpg
Office Add-ins in Office for Mac,Harrison Shapley,"Office Add-ins will soon be available on the Office for Mac. Learn how you can side-load your add-in as well as debug using VorlonJS on the Mac. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:8c60055427bd4ae79641a5da00c4715a"" />",https://s.ch9.ms/Events/Build/2016/P554,Office_Add-ins_in_Office_for_Mac.mp4,http://video.ch9.ms/ch9/799e/69e1e81b-3932-44a7-862c-d7c3793e799e/P554_220.jpg
Build Office Add-ins with Any Code Editor and Office Online,Harrison Shapley,"Don't use Visual Studio? Don't worry! It's easy to build Office add-ins using your favorite development tools. In this video, we'll use the Yeoman generator, VS Code, and the browser to create and test an add-in. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:a23c223b84fc4155932ba5da00c47150"" />",https://s.ch9.ms/Events/Build/2016/P552,Build_Office_Add-ins_with_Any_Code_Editor_and_Office_Online.mp4,http://video.ch9.ms/ch9/cd95/9121965b-d154-46df-b508-4dc43f69cd95/P552_220.jpg
Add-in Commands in the Office Ribbon,Humberto Lezama Guadarrama,"Create custom ribbon buttons, tabs and much more to deeply integrate your&nbsp;web add-in with Office. In this overview you will learn all about add-in commands, the cool new feature that enables web developers to extend the Office User Interface. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:0a7f48bc028945eaadbaa5da00c47146"" />",https://s.ch9.ms/Events/Build/2016/P551,Add-in_Commands_in_the_Office_Ribbon.mp4,http://video.ch9.ms/ch9/adf9/a5a54270-ad88-43ab-a02b-d09652cfadf9/P551HumbertoLezamaAddinCommandsintheOfficeRibbonv_220.jpg
