title,speakers,description,link,video,thumbnail
Customizing Your Device Experience with Assigned Access,Lily Hou,"For corporate owned devices, there is often a need to restrict the experience to one or more Line of Business applications, creating a curated lockdown experience such as a kiosk or a specialized task oriented device. This session will discuss how you can leverage assigned access to create a single application kiosk experience on desktop as well as a role-based experience for task worker scenarios on Windows Mobile. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:163b117649a74a11acc7a5d900c2a54c"" />",https://s.ch9.ms/Events/Build/2016/P508,Customizing_Your_Device_Experience_with_Assigned_Access.mp4,http://video.ch9.ms/ch9/1fbb/41b6dfec-6775-41c4-8add-45f91f511fbb/P508_220.jpg
Protecting Premium Video in Windows with PlayReady,Timothy Rule,"PlayReady is a popular technology for securing video and music services. With Windows 10 a new version of PlayReady adds features requested by premium video services to support hardware security. Also, with Windows 10 the PlayReady APIs are now part of the Windows Runtime for Universal Apps. Browsers such as Edge utilize PlayReady for secure video playback and web developers can access it via standards based Encrypted Media Extensions. Learn about basics of the technology, the new features, different use cases, and how to start building premium video applications with PlayReady digital rights management. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:0870a0e47c9e4658b091a5d900c2a541"" />",https://s.ch9.ms/Events/Build/2016/P507,Protecting_Premium_Video_in_Windows_with_PlayReady.mp4,http://video.ch9.ms/ch9/5f64/5c93da10-dfa4-4401-9a12-4aa4c93b5f64/P507_220.jpg
App Discovery in the Windows Store,Morgan McLean,"Attract more customers in the Store by making your apps more visible and enticing. Learn about how you can improve the appearance of your products in the Store and how this impacts discovery through search, suggestions, and recommendations. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:6c16b6a88d27487e9908a5d900c2a51f"" />",https://s.ch9.ms/Events/Build/2016/P506,App_Discovery_in_the_Windows_Store.mp4,http://video.ch9.ms/ch9/9586/3a0afe54-b5b5-476b-a90b-1bd00e6e9586/P506_220.jpg
Windows Store Analytics APIs: New Ways to Get Your Hands on Your Data,Stuart Hargreaves,"Windows Dev Center offers a wide range of options for accessing your app's analytics data. With the new Windows Store analytics API, you now have programmatic access to this data, including advanced querying, without having to log into Dev Center. These APIs also enable you to visualize and report on your data using new Dev Center Power BI Connector. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:2d0bad0acac046aea868a5d900c2a516"" />",https://s.ch9.ms/Events/Build/2016/P505,Windows_Store_Analytics_APIs_New_Ways_to_Get_Your_Hands_on_Your_Data.mp4,http://video.ch9.ms/ch9/0a9f/93b82680-f0b9-4ca3-8f1f-9a7d57ed0a9f/P505_220.jpg
Bringing Desktop Apps to the UWP Using Desktop App Converter,"David Tepper, Avneet Singh","Enabling existing desktop applications (Win32, .NET, etc.) to become part of the Universal Windows Platform (UWP) ecosystem is a key part of the Windows 10 vision. This session will cover the technologies that will enable you to convert your existing desktop application to a UWP app. We’ll demonstrate how to use the Desktop App Converter and Desktop Conversion extensions to take advantage of UWP features to enhance your app. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:0fe14e4a84ae4503bac1a5d900c2a50c"" />",https://s.ch9.ms/Events/Build/2016/P504,Bringing_Desktop_Apps_to_the_UWP_Using_Desktop_App_Converter.mp4,http://video.ch9.ms/ch9/4cb0/5b81680b-8ded-4603-a8ef-a3c0b9114cb0/P504_220.jpg
App Flighting and Beta Testing in the Windows Store,"Jonathan Garrigues, Beth Anne Katz","Learn how Windows Store allows you to do testing in production using package flighting -- delivering different binaries for the same app to different groups of people. Also learn about new features currently in development for limiting which users can see and acquire an app, how quickly package updates are rolled out, and letting customers opt-in to receive beta versions of an app. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:3b69853cea294334b898a5d900c2a4f2"" />",https://s.ch9.ms/Events/Build/2016/P502,App_Flighting_and_Beta_Testing_in_the_Windows_Store.mp4,http://video.ch9.ms/ch9/df38/4fc0c017-678c-4dbe-b307-babe346ddf38/P502_220.jpg
Monetize Your App Using Windows Store Monetization Platform,"Matt Sullivan, Kiran Bangalore","Learn what's new with monetization in Dev Center and the SDK. We'll show a hands on coding walkthrough adding banner and interstitial ads into a C&#43;&#43; app, but note that the same concepts apply to those writing in C#, JavaScript, and even Visual Basic. The video also covers affiliate ads and other future revenue options under development. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:2d7f6e0323b94cf893a8a5d900c2a4d0"" />",https://s.ch9.ms/Events/Build/2016/P501,Monetize_Your_App_Using_Windows_Store_Monetization_Platform.mp4,http://video.ch9.ms/ch9/b75e/e67f1075-f14d-479e-812b-b30fa996b75e/P501_220.jpg
UI Test Automation for Browsers and Apps Using the WebDriver Standard,"Yosef Durr, Gopinath Chigakkari","Looking for an update on UI Test Automation? This session covers both Browser and App testing. Great news for Windows application testing! We are launching a new UI test service based on the WebDriver standard. We'll explain why we’re adopting the WebDriver standard for application testing and show a demo using this service. We also cover how to run web application tests targeting multiple browsers using Selenium. And we’ll we give you a glimpse on how to execute tests continuously in CI/RM. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:47650f1060494763917ba5d900c2a49d"" />",https://s.ch9.ms/Events/Build/2016/P499,UI_Test_Automation_for_Browsers_and_Apps_Using_the_WebDriver_Standard.mp4,http://video.ch9.ms/ch9/cc1d/3785fb1e-fbc6-4479-b12d-70400bc3cc1d/P499_220.jpg
Migrating Silverlight Windows Phone Apps to the Universal Windows Platform,"Lifeng Ge, Ricardo Villalobos","In this session, you will learn how to use the Mobilize.NET migration tool to convert Windows Phone Silverlight applications to the Universal Windows Platform. In addition to the automated process, we will share best practices and techniques to address some of the unique patterns that we have identified after working with partners in different industries. Also, we will give you an introduction to the community repository of migration mappings, and how you can contribute to this effort. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:0f33b94513a74c3fa889a5d900c2a466"" />",https://s.ch9.ms/Events/Build/2016/P498,Migrating_Silverlight_Windows_Phone_Apps_to_the_Universal_Windows_Platform.mp4,http://video.ch9.ms/ch9/7218/7b2e6058-2953-4546-948e-d40ed96f7218/P498_220.jpg
Introduction to Building Accessible UWP Apps,Sean Hayes,"In this introduction we will cover the basic considerations for making your applications accessible to the widest set of users, showing how you can work with the Windows UI Automation framework and respect user settings in a XAML application. Will cover working with automation properties and events, using XAML in a way that the automation framework can understand, and working with the AccessibilitySettings class using a custom visual state trigger. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:6ce0a65fad1a47aa8c90a5d900c2a45b"" />",https://s.ch9.ms/Events/Build/2016/P497,Introduction_to_Building_Accessible_UWP_Apps.mp4,http://video.ch9.ms/ch9/7a5c/6c623b14-d102-4a26-9bee-aefb57697a5c/P497_220.jpg
What’s New in Accessibility (for Developers and Users),Jeff Petty,"In this brief video, Jeff Petty from the Windows Accessibility Team, provides an overview of some of the new accessibility features coming to Windows in 2016. He shares information about how Microsoft is responding to user requests for a “one stop shop” for accessibility on MSDN (the new Accessibility Developer Hub) and to combine guidance and sample code in articles (the new Design &amp; UI content at the Windows Dev Center). The overview also includes XAML improvements, e.g. support for mnemonics or access keys in a few steps, and Edge platform improvements, e.g. code web pages and apps using web standards like ARIA for an accessible experience. He also shares some new tools that make it easier to find, triage and fix common accessibility errors within Visual Studio and after apps have been deployed using Narrator Developer Mode. Finally, he shares some investments Microsoft is making to improve the Narrator user experience. Microsoft believes there is a great business case for creating accessible applications for all users, and is investing to make it easier for developers to create accessible experiences. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:c205ed7e008d46a0911da5d900c2a455"" />",https://s.ch9.ms/Events/Build/2016/P496,What’s_New_in_Accessibility_(for_Developers_and_Users).mp4,http://video.ch9.ms/ch9/c53c/683fc907-7cc5-402a-80c6-e0cf9987c53c/P496_220.jpg
UWP Application Data: Building a Continuous App Experience,"Sandeep Mathew George, Hector Barbera","Most apps need to store data. This session will teach you the design principles to model and store your UWP app data so that it is preserved via Backup/Restore, synced across devices via app data roaming, shared between your suite of applications and also shared across users of your application on a device. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:97fe3c4e20fe4f539cc5a5d900c2a439"" />",https://s.ch9.ms/Events/Build/2016/P495,UWP_Application_Data_Building_a_Continuous_App_Experience.mp4,http://video.ch9.ms/ch9/b640/cc824eea-7073-446f-9d41-b79a288fb640/P495_220.jpg
Windows 10 Identity Overview,Karanbir Singh,"Windows 10 is an exciting release from an Identity point of view with many new additions like Azure Active Directory Join, Web Account Manager, Microsoft Passport, and Windows Hello. This session is a high-level overview of the new Identity features and how they fit with each other. The viewers are expected to walk away with a clear mental model for user Identity on Windows 10. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:79e73c05a2d44c0c8ef3a5d900c2a432"" />",https://s.ch9.ms/Events/Build/2016/P494,Windows_10_Identity_Overview.mp4,http://video.ch9.ms/ch9/7c6a/7e892869-1b69-4ebd-bf8d-133e32827c6a/P494_220.jpg
Managing Windows in an Enterprise: Empower Your Users & Protect Your Data,Janani Vasudevan,"Enabling people to access their corporate apps and data on their devices, whether in the office or on the road, doesn’t need to be a challenge. Windows 10 helps protect corporate resources though mobile device management, data protection, and identity both from on-premises and in the cloud. This session will explain how Windows 10 can help organizations give people the best apps to do their jobs while reducing costs and keeping data safe. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:d5ca08023a75489197a3a5d900c2a428"" />",https://s.ch9.ms/Events/Build/2016/P493,Managing_Windows_in_an_Enterprise_Empower_Your_Users_&_Protect_Your_Data.mp4,http://video.ch9.ms/ch9/612e/58491d57-cce2-436a-a816-824a6997612e/P493_220.jpg
The Power of the EffectBrush in Windows UI,"Dave Driver, Kelly Renner, Chris Raubacher","In the this short talk Chris and Kelly will explore key concepts, code and demos for getting started with the Windows.UI.Composition effects system. You’ll learn how to describe, animate and chain effects for Universal Windows Platform Applications. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:9c8cd0c4d82f4f9191e2a5d900c2a422"" />",https://s.ch9.ms/Events/Build/2016/P492,The_Power_of_the_EffectBrush_in_Windows_UI.mp4,http://video.ch9.ms/ch9/2d2e/b90cc4c9-6ba2-47eb-b25d-b51fed932d2e/P492_220.jpg
Windows Unlock with IoT Devices,Anoosh Saboori,"With Windows 10 strong authentication and biometrics we’re poised for mainstreaming on Windows devices with Microsoft Passport and Windows Hello. These solutions are about to become more flexible than ever with the companion device framework that will enable IHV’s to build a broad range of devices (e.g.: wearables, NFC cards, etc) that can be used to remotely unlock or even authenticate on your Windows 10 devices. You can find more information on MSDN: https://msdn.microsoft.com/en-us/windows/uwp/security/companion-device-unlock <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:89592d5ae56d44d08804a5d900c2a41a"" />",https://s.ch9.ms/Events/Build/2016/P491,Windows_Unlock_with_IoT_Devices.mp4,http://video.ch9.ms/ch9/f9b7/6f106f06-c2a2-4876-894b-4f178adbf9b7/P491_220.jpg
Beyond the EffectBrush with Windows UI,"Dave Driver, Kelly Renner, Chris Raubacher","This talk assumes you have an understanding of using the Windows UI EffectBrush (presented in Talk One) and want to learn some new techniques like shadows, scene based and backdrop effects to take your application to the next level of beautiful. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:2c840ecfa8f34e719611a5d900c2a40d"" />",https://s.ch9.ms/Events/Build/2016/P490,Beyond_the_EffectBrush_with_Windows_UI.mp4,http://video.ch9.ms/ch9/c79b/c365d197-3e6b-4003-8efb-a574bfdfc79b/P490_220.jpg
Async Programming Improvements for C++ and UWP,"Peter Torr, Eric Mittelette, Gor Nishanov","In this video, you’ll see how C&#43;&#43; Coroutines can dramatically simplify the Async coding pattern for UWP, whilst boosting readability and maintainability. As with many other languages, C&#43;&#43; now has an “await”-like feature that lets functions suspend and resume without blocking their threads. The new C&#43;&#43; co_await keyword can be used with both standard C&#43;&#43; and C&#43;&#43;/CX, and is supported for both Universal Windows Apps and Classic Windows Apps. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:fb54b980ac4f48b6b9cfa5d900c2a3ff"" />",https://s.ch9.ms/Events/Build/2016/P489,Async_Programming_Improvements_for_C_and_UWP.mp4,http://video.ch9.ms/ch9/6171/ead05343-b9b4-4449-828c-9ceab8ce6171/P489_220.jpg
Using Expression Animations to Create Engaging & Custom UI,"Anthony Young, Lindsay Kubasik","Learn to use the new animation engine to create custom and responsive motion experiences in your Universal Windows Application. This talk is a deep dive on how to use expression animations in the visual layer to build engaging and exciting UI with incredible flexibility. This talk covers concepts from creating a basic expression animation, up through using properties of visuals to drive expression animations. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:c9476bf936f84aed9f73a5d900c2a3c9"" />",https://s.ch9.ms/Events/Build/2016/P486,Using_Expression_Animations_to_Create_Engaging_&_Custom_UI.mp4,http://video.ch9.ms/ch9/88d7/b9a2ebbd-822a-49e5-adb3-d4a97b5b88d7/P486_220.jpg
Connected Animations,Varun Shandilya,"Connected animations provides a way for developers to run animations while the user is moving between scenes or pages. This helps user to main focus on the right thing and orient them as they land in a new scene and page. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:338dae62ceec46488689a5d900c2a3be"" />",https://s.ch9.ms/Events/Build/2016/P485,Connected_Animations.mp4,http://video.ch9.ms/ch9/9ba2/15f19e92-1884-4bff-ab95-a2ff86619ba2/P485_220.jpg
Implicit Animations,Varun Shandilya,"Implicit Animations helps developers to declare their animations/behavior ahead of time and as changes happen to properties in application related animations are played by the system implicitly reducing development overhead for maintenance. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:6733f60835a94780bf4fa5d900c2a3b3"" />",https://s.ch9.ms/Events/Build/2016/P484,Implicit_Animations.mp4,http://video.ch9.ms/ch9/1ab9/45bedca5-afb3-44c1-b4e9-9042a7211ab9/P484_220.jpg
Using Non-volatile Memory (NVDIMM-N) as Byte-Addressable Storage in Windows Server 2016,Tobias Klima,"This session covers the use of non-volatile memory (NVDIMM-N) in a byte-addressable mode with a DirectAccess (DAX), a.k.a. zero-copy file system in Windows Server 2016. In this mode, DAX-aware applications can expect ultra-low latency access (orders of magnitude compared to SSD) to the persistent storage medium and gain significant efficiencies. The open-source NVML library makes this transition easier for apps. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:5c19e63ca7ca4a2e8d65a5d900c2a3aa"" />",https://s.ch9.ms/Events/Build/2016/P470,Using_Non-volatile_Memory_(NVDIMM-N)_as_Byte-Addressable_Storage_in_Windows_Server_2016.mp4,http://video.ch9.ms/ch9/1d6e/1e61818e-0da4-46ee-8b03-6ea25c841d6e/P470_220.jpg
Using Non-volatile Memory (NVDIMM-N) as Block Storage in Windows Server 2016,Tobias Klima,"This session covers why non-volatile memory - in the form of NVDIMM-N - is an important storage medium of interest to application developers and DevOps experts. It will provide insight into non-volatile memory can be easily exploited in Windows Server 2016, without application changes, for extremely high performance read/write workloads, such as SQL. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:9c61408af81d412ea247a5d900c2a3a3"" />",https://s.ch9.ms/Events/Build/2016/P466,Using_Non-volatile_Memory_(NVDIMM-N)_as_Block_Storage_in_Windows_Server_2016.mp4,http://video.ch9.ms/ch9/17f1/9e65487d-4393-42d6-82f0-08e22da317f1/P466_220.jpg
Runtime Editing Tools for XAML,​Dante Gagne,"This video gives a brief overview of the newest runtime editing tools available in with Visual Studio 2015 Update 2 and the newest Visual Studio preview. The In-App runtime tools streamline the UI Debugging workflows. The Live Property Explorer can inspect properties exposed by automation peers which makes accessibility related issues easier to fix and XAML Edit &amp; Continue lets you edit live XAML while the app is running and get immediate feedback. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:4a835fec28414b2b9d48a5d900c2a398"" />",https://s.ch9.ms/Events/Build/2016/P465,Runtime_Editing_Tools_for_XAML.mp4,https://sec.ch9.ms/sessions/build/2016/P465.jpg
Enterprise Data Protection: Building Windows Apps that Keep Work and Personal Data Separate and Secure,"Derek Adam, Rohith Gowda","IT’s biggest challenge is how to manage access to work data for a mobile workforce, where phones and laptops with sensitive data are lost or recycled, employees switch companies, and data lands on personal devices. Windows 10 provides a way for trusted apps to safely handle work and personal, so enterprises can manage their data without destroying personal data or boxing in the user experience. This session will cover how to call the APIs for creating a trustworthy app that complies with enterprise data policy, while providing a safe and uncompromised personal experience.​ <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:1f665782c2354b2da353a5d900c2a389"" />",https://s.ch9.ms/Events/Build/2016/P464,Enterprise_Data_Protection_Building_Windows_Apps_that_Keep_Work_and_Personal_Data_Separate_and_Secure.mp4,http://video.ch9.ms/ch9/a3fd/d13097c0-ac09-4700-a32b-21d75903a3fd/P464_220.jpg
Integrating your Systems with Logic Apps,"Jeff Hollan, Jon Fancey","Watch this session to see what you can do with Logic Apps, our cloud-scale workflow engine that enables you to connect SaaS applications to data sources to social media to your own API Apps and more! Logic Apps enables you to integrate systems and applications quickly and easily using a powerful browser-based designer. You’ll also see how you can consume custom APIs in Logic Apps to connect FTP to SQL across Logic Apps using Service Bus. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:f0fbce530ce442aeb631a5d900c2a382"" />",https://s.ch9.ms/Events/Build/2016/P462,Integrating_your_Systems_with_Logic_Apps.mp4,http://video.ch9.ms/ch9/77fe/35e0f838-db4e-43e6-9990-5569353f77fe/P462_220.jpg
Windows Device Portal – Diagnose Windows Devices from the Comfort of Your Browser,Hirsch Singhal,"Device control and diagnostics from the convenience of your browser.&nbsp; Windows Device Portal will be included on all Windows 10 devices, coming in the April Tech Preview.&nbsp; From Device Portal, UWP developers can sideload their apps, get performance and ETW traces, and interact with their device, using the same set of tools and REST APIs regardless of platform. This video will go over tools on Phone and HoloLens, show off new UI coming from Xbox, and show you how to use Device Portal from the command line. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:fddb1131026b46ba8c26a5d900c2a367"" />",https://s.ch9.ms/Events/Build/2016/P461,Windows_Device_Portal_–_Diagnose_Windows_Devices_from_the_Comfort_of_Your_Browser.mp4,http://video.ch9.ms/ch9/f878/26b686fe-a5ef-4154-a09e-63b414c2f878/P461_220.jpg
Intro to Bluetooth Background Communication,Kiran Pathakota,"Take a look at the Bluetooth classic communication paradigm that Windows 10 has to offer. With the latest APIs released just in time for //Build 2016, you'll see that devices don't always have to be paired in order to communicate with Windows. Learn all about sockets, Bluetooth RFCOMM, background triggers and how your app can effectively use Bluetooth even while unpaired. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:81290c8e16b9413ba28ea5d900c2a2e5"" />",https://s.ch9.ms/Events/Build/2016/P460,Intro_to_Bluetooth_Background_Communication.mp4,http://video.ch9.ms/ch9/8dba/c98d0070-043e-4f9a-bfa2-d78856888dba/P460_220.jpg
Universal 3D Printing with Windows,Michael Scherotter,"3D printing is now universal across Windows devices including Desktop, Tablet, phone, and HoloLens. In this talk you will learn about the various app and game scenarios that are enabled by 3D printing. You will also see the various ways that developers can integrate 3D printing into universal windows and desktop applications in a consistent way across devices. You will learn about the 3MF format and consortium and the various ways for hardware and software companies can become part of the growing 3D printing, design, and manufacturing ecosystem. Finally, you will learn about how Microsoft is making investments in the future of 3D printing on Windows. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:2f1210ade4d44385a119a5d900c2a2d9"" />",https://s.ch9.ms/Events/Build/2016/P459,Universal_3D_Printing_with_Windows.mp4,http://video.ch9.ms/ch9/9c86/71568a1b-0e91-485d-a667-4cff04dc9c86/P459_220.jpg
Applications That Learn & Adapt: Azure Machine Learning + Search,Liam Cavanagh,"Most likely you have seen product recommendations in some of your favorite ecommerce sites. These are often presented as &quot;Frequently Bought Together&quot; recommendations which show products that other users have purchased along with the currently viewed product. Recommendations are one of the many ways that Machine Learning can be used to enhance a user’s search experience and can be applied to a large number of scenarios beyond ecommerce. In this demo heavy session, we will discuss topics such as feedback loops, personalization, relevancy tuning and learn how to use technologies such as Azure Search and Azure Machine Learning to build out and enhance the full text search experience of your web and mobile applications. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:79ea541c2949447f86c0a5d900c2a2d1"" />",https://s.ch9.ms/Events/Build/2016/P458,Applications_That_Learn_&_Adapt_Azure_Machine_Learning_Search.mp4,http://video.ch9.ms/ch9/dd07/1179a7dd-3e97-4a19-94cb-47b72aa1dd07/P458_220.jpg
Hosted Web Apps Myth #10:  My Web App Can’t Interact with Native Code,"Jeff Burtoft, Kiril Seksenov","Hosted Web Apps on Windows 10 can do more than ever before but that isn’t always clear. People often times have thoughts and questions similar to these: “can I call native APIs form JS on the web?”, “it can’t be that simple”, “websites don’t look like apps”, “how can my web code work offline?”, “web apps have slow UI” and more. This session will take the top 10 myths surrounding Hosted Web Apps and debunk them through code samples, demos and videos. It will cover how Hosted Web Apps can exemplify a range of native app features from offline capabilities to fast, fluid and responsive UI. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:3898b32f39a240faa308a5d900c2a2c2"" />",https://s.ch9.ms/Events/Build/2016/P453,Hosted_Web_Apps_Myth_10_My_Web_App_Can’t_Interact_with_Native_Code.mp4,http://video.ch9.ms/ch9/a29a/84836e13-46e2-4a91-9df9-6e22da3ba29a/P453_220.jpg
Hosted Web Apps Myth #8: Hosted Web Apps Don’t Get the Latest Cool Features,"Jeff Burtoft, Kiril Seksenov","Hosted Web Apps on Windows 10 can do more than ever before but that isn’t always clear. People often times have thoughts and questions similar to these: “can I call native APIs form JS on the web?”, “it can’t be that simple”, “websites don’t look like apps”, “how can my web code work offline?”, “web apps have slow UI” and more. This session will take the top 10 myths surrounding Hosted Web Apps and debunk them through code samples, demos and videos. It will cover how Hosted Web Apps can exemplify a range of native app features from offline capabilities to fast, fluid and responsive UI. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:8876598008004c8ea9b3a5d900c2a2ac"" />",https://s.ch9.ms/Events/Build/2016/P451,Hosted_Web_Apps_Myth_8_Hosted_Web_Apps_Don’t_Get_the_Latest_Cool_Features.mp4,http://video.ch9.ms/ch9/540e/b9284b93-41ec-476f-8407-802abf9a540e/P451_220.jpg
